filename,label
OIP-wh7RG5_vPn6xsYd64i7HZQHaJp.jpeg,cane
OIP-whTJKT7ph2hySis-yRct8wHaEo.jpeg,cane
OIP-whvERiWyecSKskXtgofrHAHaG4.jpeg,cane
OIP-wjC5BF__qYpe1T6IqZCTMQHaFj.jpeg,cane
OIP-wjEQjtoY6rkNxWBjCsk62gHaE7.jpeg,cane
OIP-wjgv12b8HQblcgnB306dGgHaFj.jpeg,cane
OIP-wjmPExUlVvKzO0XBTCNrkgHaH0.jpeg,cane
OIP-wjqzNfBzze1ZkokVFy11dQHaFj.jpeg,cane
OIP-wjwsc8H3zI995rWMLeM1PAHaHg.jpeg,cane
OIP-wknzwnUFkYy_rlppRGRBDgHaLH.jpeg,cane
OIP-o0Al9sHXrf9Guj-VkQZHiAHaFi.jpeg,cavallo
OIP-o1NDKvAKSzUSZcYoPFYfzwHaFD.jpeg,cavallo
OIP-o2V6S2G87JLtRJ4-M0G9lwHaFj.jpeg,cavallo
OIP-o2ZYrM3JqPQkvCSTn91ilAHaEV.jpeg,cavallo
OIP-o3wPtM7U6DkaNbdt3KXjbQHaJi.jpeg,cavallo
OIP-o4y6llUKxDJJWTENIWZidgAAAA.jpeg,cavallo
OIP-o6RkvnnDYxjjpHPfMKLdLgHaH1.jpeg,cavallo
OIP-o8F7pVIHPLHnNKQJR-tRPgHaGe.jpeg,cavallo
OIP-o8q5c28cMn-zaObbHT4rLQHaE6.jpeg,cavallo
OIP-o_OMP49D76_VTBTnYx0K9QHaGg.jpeg,cavallo
eb3cb10c2ef5063ed1584d05fb1d4e9fe777ead218ac104497f5c978a4eebdbd_640.jpg,elefante
eb3cb10e28f7073ed1584d05fb1d4e9fe777ead218ac104497f5c978a4eebdbd_640.jpg,elefante
eb3cb10f2cfd043ed1584d05fb1d4e9fe777ead218ac104497f5c978a4efbcb0_640.jpg,elefante
eb3cb20c28f4053ed1584d05fb1d4e9fe777ead218ac104497f5c978a4eebdbd_640.jpg,elefante
eb3cb30c21f4073ed1584d05fb1d4e9fe777ead218ac104497f5c978a4efbcb0_640.jpg,elefante
eb3cb30c21f5013ed1584d05fb1d4e9fe777ead218ac104497f5c978a4efbcb0_640.jpg,elefante
eb3cb30c21f5023ed1584d05fb1d4e9fe777ead218ac104497f5c978a4efbcb0_640.jpg,elefante
eb3cb30c21f5033ed1584d05fb1d4e9fe777ead218ac104497f5c978a4efb4bb_640.jpg,elefante
eb3cb30c21f5063ed1584d05fb1d4e9fe777ead218ac104497f5c978a4efb4bb_640.jpg,elefante
eb3cb40b20f5023ed1584d05fb1d4e9fe777ead218ac104497f5c978a4eebdbd_640.jpg,elefante
ea37b40d2bfd073ed1584d05fb1d4e9fe777ead218ac104497f5c97faeebb5bb_640.jpg,farfalla
ea37b40e20f6023ed1584d05fb1d4e9fe777ead218ac104497f5c97faeebb5bb_640.jpg,farfalla
ea37b40e21f1003ed1584d05fb1d4e9fe777ead218ac104497f5c97faee8b1b8_640.jpg,farfalla
ea37b50b2ff1003ed1584d05fb1d4e9fe777ead218ac104497f5c97faee9bdba_640.jpg,farfalla
ea37b50b2ff1023ed1584d05fb1d4e9fe777ead218ac104497f5c97faee8b1b8_640.jpg,farfalla
ea37b50b2ff1033ed1584d05fb1d4e9fe777ead218ac104497f5c97faee8b1b8_640.jpg,farfalla
ea37b50c2ff6093ed1584d05fb1d4e9fe777ead218ac104497f5c97faee8b1b8_640.jpg,farfalla
ea37b50d2bf0063ed1584d05fb1d4e9fe777ead218ac104497f5c97faee9bdba_640.jpg,farfalla
ea37b50e2df0013ed1584d05fb1d4e9fe777ead218ac104497f5c97faee8b1b8_640.jpg,farfalla
ea37b50e2df7043ed1584d05fb1d4e9fe777ead218ac104497f5c97faeebb5bb_640.jpg,farfalla
OIP-gbhBRAHlFNJfojxC5aEmuAHaE7.jpeg,gallina
OIP-gcewfYGn7CC-e5YvpKTweAHaJA.jpeg,gallina
OIP-gcRpFimBkSUhIkdOfCQcUAHaFj.jpeg,gallina
OIP-geqk0CKoMDoTHBcDObY5mwHaFj.jpeg,gallina
OIP-gFI6YgAqWSe4f0ieV6w7OQHaEJ.jpeg,gallina
OIP-gg6pBeNqsUE-EhAuM-Dj-QHaFC.jpeg,gallina
OIP-gGLJMG4iNyV8nvWOAXaLGQHaE8.jpeg,gallina
OIP-gGO42dv7gG1un_XStiR24gHaEJ.jpeg,gallina
OIP-ggoDgh2CK2Cfs56cgyRNEwHaEK.jpeg,gallina
OIP-gh2fYeV_MkUfzQfAXMG3QAHaFF.jpeg,gallina
